,card,fouls_committed,fouls_suffered,goal,goals,league,player,season,shotoff,shoton,team,penalties,non_penalties
0,"[u'y', u'y', u'y', u'y']",37,25,"[u'distance', u'volley']",2,1729,25537,2014/2015,4,8,9826,0,2
1,"[u'y', u'y', u'y', u'y']",9,20,"[u'volley', u'shot']",2,1729,143793,2014/2015,5,9,9825,0,2
2,"[u'y', u'y']",10,5,"[u'header', u'shot']",2,1729,26777,2014/2015,2,2,9826,0,2
3,"[u'y', u'y', u'y', u'y']",45,76,"[u'header', u'shot', u'shot', u'shot', u'header', u'shot', u'direct_freekick', u'shot', u'shot', u'distance', u'direct_freekick', u'shot', u'volley', u'shot', u'lob', u'shot']",16,1729,50047,2014/2015,32,71,9825,0,16
4,[u'y'],10,9,[],0,1729,24011,2014/2015,2,0,9825,0,0
5,"[u'y', u'y', u'y', u'y', u'y']",16,20,"[u'shot', u'header', u'header', u'tap_in']",4,1729,24157,2014/2015,10,8,9826,0,4
6,"[u'y', u'y2', u'y', u'y', u'y']",49,36,"[u'direct_freekick', 'penalty', 'penalty', u'header', 'penalty']",5,1729,8985,2014/2015,9,19,9826,3,2
7,"[u'y', u'y']",15,10,[u'header'],1,1729,26154,2014/2015,3,6,9825,0,1
8,"[u'y', u'y', u'y', u'y', u'y']",23,56,"['penalty', u'shot', 'penalty', 'penalty', 'penalty', 'penalty', 'penalty']",7,1729,37436,2014/2015,31,53,9825,6,1
9,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y', u'y', u'y']",24,19,[u'shot'],1,1729,425255,2014/2015,2,3,9825,0,1
10,"[u'y', u'y2', u'y', u'y', u'y', u'y', u'y', u'y']",49,27,"[u'shot', u'distance', u'volley', u'direct_freekick', u'direct_freekick', u'direct_freekick']",6,1729,35345,2014/2015,26,32,9826,0,6
11,"[u'y', u'y']",34,14,[],0,1729,154271,2014/2015,3,4,9826,0,0
12,"[u'y', u'y', u'y']",49,45,"[u'shot', u'lob', u'shot', u'shot']",4,1729,160194,2014/2015,30,35,9826,0,4
13,[],1,2,[],0,1729,192921,2014/2015,2,6,9825,0,0
14,"[u'y', u'y', u'y', u'y', u'y', u'y']",25,13,"[u'header', u'header']",2,1729,23837,2014/2015,5,7,9826,0,2
15,[],12,21,"[u'shot', u'header']",2,1729,22929,2014/2015,7,3,9826,0,2
16,"[u'y', u'y', u'y']",22,19,[],0,1729,38521,2014/2015,1,2,9825,0,0
17,"[u'y', u'y', u'y', u'y']",38,45,[u'deflected'],1,1729,146830,2014/2015,4,6,9826,0,1
18,[u'y'],0,2,[],0,1729,169718,2014/2015,0,0,9825,0,0
19,"[u'y', u'y', u'y', u'y']",20,16,"[u'header', u'header', u'volley']",3,1729,46539,2014/2015,2,2,9825,0,3
20,"[u'y', u'y', u'y', u'y', u'y', u'y']",24,29,"[u'tap_in', u'volley', u'tap_in', u'shot', u'shot', u'deflected']",6,1729,75489,2014/2015,34,24,9825,0,6
21,"[u'y', u'r', u'y', u'y', u'y', u'y']",37,30,"[u'shot', u'header', u'shot', u'shot', u'header', u'header', u'shot', u'tap_in', u'volley', u'shot', u'shot', u'shot', u'header', u'shot']",14,1729,46469,2014/2015,32,26,9825,0,14
22,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",35,24,"[u'loose_ball', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'header', u'shot', u'shot', u'shot', 'penalty', u'header', u'shot', u'shot', u'header', u'lob']",20,1729,19243,2014/2015,27,29,8455,1,19
23,"[u'y', u'y', u'y']",21,46,[],0,1729,23134,2014/2015,6,4,8191,0,0
